model,seed,mAP_10s
visual,2026,0.30345514473678326
visual,2027,0.2913284074097173
visual,2028,0.31203728077235765
visual,2029,0.31700831273303104
visual,2030,0.2929313175939175
text,2026,0.09249795167794028
text,2027,0.09542535026965283
text,2028,0.08989811741940382
text,2029,0.08918671951288054
text,2030,0.0988811550705997
late,2026,0.3136259554738327
late,2027,0.31312982808258844
late,2028,0.31423437613232064
late,2029,0.3192728210579467
late,2030,0.31156973543101
rtgre,2026,0.3098311175813139
rtgre,2027,0.29825272199440694
rtgre,2028,0.3045665286108275
rtgre,2029,0.31593387058677436
rtgre,2030,0.30444563896147453
rtgre_flow,2026,0.306163624044806
rtgre_flow,2027,0.3000140558883253
rtgre_flow,2028,0.2980323628026003
rtgre_flow,2029,0.3077037684896115
rtgre_flow,2030,0.30017440568021575
tcn_visual,2026,0.278557915220095
tcn_visual,2027,0.2693533630927802
tcn_visual,2028,0.27108398251951
tcn_visual,2029,0.27238050250301366
tcn_visual,2030,0.2630502240848996
tcn_fusion,2026,0.27338701657416087
tcn_fusion,2027,0.27289794071289264
tcn_fusion,2028,0.2854931376217266
tcn_fusion,2029,0.2764483365472577
tcn_fusion,2030,0.2680795504865053
