condition,seed,mAP_10s
Time-bounded,2026,0.3136259554738327
Time-bounded,2027,0.31312982808258844
Time-bounded,2028,0.31423437613232064
Time-bounded,2029,0.3192728210579467
Time-bounded,2030,0.31156973543101
TF-IDF,2026,0.30758403311145666
TF-IDF,2027,0.3153660828639758
TF-IDF,2028,0.3137244591456119
TF-IDF,2029,0.31487188235548375
TF-IDF,2030,0.3106879538433509
+10-s delay,2026,0.3153020952372901
+10-s delay,2027,0.30519388147915893
+10-s delay,2028,0.30959525149575895
+10-s delay,2029,0.3187363867930356
+10-s delay,2030,0.3134942956943881
+20-s delay,2026,0.3083721359890379
+20-s delay,2027,0.30052283279775893
+20-s delay,2028,0.3047429917403274
+20-s delay,2029,0.3077088887490713
+20-s delay,2030,0.2997405565121072
Remove text,2026,0.3042086780865185
Remove text,2027,0.2932665307932403
Remove text,2028,0.2975789702817352
Remove text,2029,0.29247999823392645
Remove text,2030,0.2939097605229224
Retrain zero,2026,0.2992704756340038
Retrain zero,2027,0.2992839803510887
Retrain zero,2028,0.3121927208413997
Retrain zero,2029,0.2952504353912441
Retrain zero,2030,0.29805823905789164
Shift 60 s,2026,0.3006927437900501
Shift 60 s,2027,0.2879580470896752
Shift 60 s,2028,0.2917108310903527
Shift 60 s,2029,0.2999100211043524
Shift 60 s,2030,0.29920411114233664
Future +10 s,2026,0.348411889266001
Future +10 s,2027,0.3543707585241492
Future +10 s,2028,0.34943575413753514
Future +10 s,2029,0.3564208648343041
Future +10 s,2030,0.34500644459856983
