class,late_minus_visual,late_mean,visual_mean
Kick-off,0.034197537763882166,0.6113734767369741,0.5771759389730918
Direct free-kick,0.03405220079440051,0.37426712964027686,0.34021492884587634
Indirect free-kick,0.033929406773992074,0.3190696648137976,0.2851402580398056
Yellow card,0.028892976916455294,0.3519796269862425,0.3230866500697872
Substitution,0.020320235392884477,0.5654353519625775,0.5451151165696931
Clearance,0.01863081324469986,0.41787753179030424,0.3992467185456044
Shots on target,0.01321730236772396,0.1815986085700271,0.16838130620230313
Red card,0.01252609748300176,0.03229044833660641,0.01976435085360465
Corner,0.010818617159776122,0.7107385072317166,0.6999198900719406
Ball out of play,0.006551028040243512,0.41783721075583874,0.4112861827155953
Yellow->red card,0.003590204196499371,0.010551410565406514,0.006961206368907143
Offside,0.002434091084646927,0.028812306324962206,0.026378215240315278
Goal,-0.0007664352778012778,0.08462677809429701,0.08539321337209829
Foul,-0.001995360032128149,0.11422654011925815,0.1162219001513863
Throw-in,-0.0022637856860032056,0.6326985272585837,0.6349623129445868
Shots off target,-0.0035132048397290396,0.1191621589746092,0.12267536381433826
Penalty,-0.023376065414112124,0.371685956842696,0.39506202225680814
